"","Product","Name","Date","IndividualRating","Review"
"1","Nizoral Anti-Dandruff Shampoo with 1% Ketoconazole, Fresh Scent, 7 Fl Oz","Anshul Pandey","Reviewed in Australia on 15 January 2024","4.6 out of 5 stars","        Good product, works as advertised and was delivered very quickly. Thanks  "
"2","Nizoral Anti-Dandruff Shampoo with 1% Ketoconazole, Fresh Scent, 7 Fl Oz","Syed Usman Hussain","Reviewed in Australia on 4 March 2024","5.0 out of 5 stars","        It calms the scalp asap, very good results. I recommend +++++  "
"3","Nizoral Anti-Dandruff Shampoo with 1% Ketoconazole, Fresh Scent, 7 Fl Oz","Anshul Pandey","Reviewed in Australia on 15 January 2024","3.0 out of 5 stars","        Persistent dandruff that my partner had for many years disappeared after one wash. Two months later and there is still no dandruff after using twice a week. Works in beard too.  "
"4","Nizoral Anti-Dandruff Shampoo with 1% Ketoconazole, Fresh Scent, 7 Fl Oz","MG","Reviewed in Australia on 19 November 2023","5.0 out of 5 stars","        This shampoo smells nice, has fine bobbles, rinse easily and it makes my scalp less oily and itchy. It doesn't irritate or dry your scalp. I feel like I want to use it everyday although I'm only suppose to use to 3 times a week. I really like it and recommend it. Great shampoo!  "
"5","Nizoral Anti-Dandruff Shampoo with 1% Ketoconazole, Fresh Scent, 7 Fl Oz","B","Reviewed in Australia on 15 October 2023","5.0 out of 5 stars","        Love the product and the service is very good and will be buying again in the future. thanks again  "
"6","Nizoral Anti-Dandruff Shampoo with 1% Ketoconazole, Fresh Scent, 7 Fl Oz","JJ ","Reviewed in Australia on 14 October 2023","5.0 out of 5 stars","        Great service. Many thanks.  "
"7","Nizoral Anti-Dandruff Shampoo with 1% Ketoconazole, Fresh Scent, 7 Fl Oz","Anthony Rutherford","Reviewed in Australia on 18 February 2024","5.0 out of 5 stars","        I heard this product from dermdoctor on YouTube. I had oily scalp, flaky dandruff, and the worst one, it hurts my scalp when I move my hair! I tried a few different anti dandruff shampoo, and they didn’t do much. But this! Nizoral worked on FIRST TRY!!! Seriously I can’t recommend this shampoo enough! My scalp immediately stopped hurting, very little flakes remained, not oily at all after 3-4 days. I wash my hair every Monday and Thursday, they always get oily and has this white oily buildup when I scratch my hair. Now I’m at my 3rd wash with Nizoral, my scalp doesn’t hurt at all, I haven’t seen any flakes for a few days, and it didn’t feel oily at all on this Monday so that I forgot to wash my hair lol. I’m so happy with this shampoo, and I’m so grateful to Dr. Shah and Dr. Maxfield.  "
"8","Nizoral Anti-Dandruff Shampoo with 1% Ketoconazole, Fresh Scent, 7 Fl Oz","David Reeves","Reviewed in Australia on 6 February 2024","5.0 out of 5 stars","        I got this for my husband who has suffered from dandruff and itchy scalp his whole life. Prior to using Nizoral he used to use head and shoulders. He used Nizoral for a week and the dry scalp, itchiness, and dandruff went away. This stuff is amazing, highly recommend.  "
"9","Nizoral Anti-Dandruff Shampoo with 1% Ketoconazole, Fresh Scent, 7 Fl Oz","Evian","Reviewed in Australia on 19 January 2023","5.0 out of 5 stars","        Nice product, very effective in getting rid of dandruff without drying the hair.  "
"10","Nizoral Anti-Dandruff Shampoo with 1% Ketoconazole, Fresh Scent, 7 Fl Oz","AR","Reviewed in Australia on 23 May 2023","5.0 out of 5 stars","        After the first shower, scalp stopped itching and flakes became unnoticeable. Currently on my second week now and I couldn't be any happier! I wish I had purchase this sooner.  "
