"","Product","Name","Date","IndividualRating","Review"
"1","Garnier Fructis, 3-in-1 Hair Mask, Smoothing & Hydrating, Hair Food Macadamia, 390ml","Robert","Reviewed in Australia on 11 October 2022","4.6 out of 5 stars","        For the price I think this product is great. I don't think it is the best product for my hair type - I have very dry 2c hair that is prone to frizz, and will sometimes go into actual curls. This product is too heavy for me, but it works well as a leave in treatment or mask every now and then. It would probably work better for people with hair that is thicker, more porous, and curlier than mine.  "
"2","Garnier Fructis, 3-in-1 Hair Mask, Smoothing & Hydrating, Hair Food Macadamia, 390ml","Yvonne A.","Reviewed in Australia on 5 September 2023","5.0 out of 5 stars","        I love that its natural and does hydrate my hair.  "
"3","Garnier Fructis, 3-in-1 Hair Mask, Smoothing & Hydrating, Hair Food Macadamia, 390ml","Sophia","Reviewed in Australia on 14 June 2023","3.0 out of 5 stars","        I bought this as I wanted to find a product which will repair damage on the hairSo far I love the scent of this product and it does really soften my hairSo far Im noticing a really great effect on my hair and worth this review  "
"4","Garnier Fructis, 3-in-1 Hair Mask, Smoothing & Hydrating, Hair Food Macadamia, 390ml","Erin Trimble","Reviewed in Australia on 12 June 2023","4.0 out of 5 stars","        Made in Germany. It works well, like any good conditioner should but the fragrance is a little too strong. In trying to sell itself as a natural product, parfum should not be one of its ingredients. Maybe mildly scented with essential oils would be a better option. I like it in a tub as I don't waste any, unlike those that come in a dispenser.  "
"5","Garnier Fructis, 3-in-1 Hair Mask, Smoothing & Hydrating, Hair Food Macadamia, 390ml","Dan G","Reviewed in Australia on 25 February 2022","4.0 out of 5 stars","        It's got a nice subtle smell, it's quite a thick mixture, you don't need much. I do find if I don't rince it all out properly then it can leave my hair quite greasy, so I tend to avoid using it as a leave in conditioner. Doesn't really help with frizzyness.  "
"6","Garnier Fructis, 3-in-1 Hair Mask, Smoothing & Hydrating, Hair Food Macadamia, 390ml","Mims","Reviewed in Australia on 30 July 2020","4.0 out of 5 stars","        I use it every alternative just after sampoo. Easy to use and my hair gives shine ✨. Loved it  "
"7","Garnier Fructis, 3-in-1 Hair Mask, Smoothing & Hydrating, Hair Food Macadamia, 390ml","Toni","Reviewed in Australia on 14 November 2020","4.0 out of 5 stars","        Use after every wash, adds softness.  "
"8","Garnier Fructis, 3-in-1 Hair Mask, Smoothing & Hydrating, Hair Food Macadamia, 390ml","Rima","Reviewed in Australia on 11 August 2021","4.0 out of 5 stars","        The scent is strong but it works .  "
"9","Garnier Fructis, 3-in-1 Hair Mask, Smoothing & Hydrating, Hair Food Macadamia, 390ml","Michael Pocock","Reviewed in Australia on 15 November 2021","4.0 out of 5 stars","        really like the hair food thanks I received all of my orders.  "
"10","Garnier Fructis, 3-in-1 Hair Mask, Smoothing & Hydrating, Hair Food Macadamia, 390ml","Aussie","Reviewed in Australia on 3 June 2021","4.0 out of 5 stars","        Nourishment to your hair..doesnt feel oily even after the second day hair for me..its a good product  "
"11","Garnier Fructis, 3-in-1 Hair Mask, Smoothing & Hydrating, Hair Food Macadamia, 390ml","Apelu","Reviewed in Australia on 6 October 2019","4.0 out of 5 stars",NA
"12","Garnier Fructis, 3-in-1 Hair Mask, Smoothing & Hydrating, Hair Food Macadamia, 390ml","Suranu","Reviewed in Australia on 13 May 2019","4.0 out of 5 stars",NA
"13","Garnier Fructis, 3-in-1 Hair Mask, Smoothing & Hydrating, Hair Food Macadamia, 390ml","Robert","Reviewed in Australia on 11 October 2022","4.6 out of 5 stars","        Garnier Fructis Watermelon Scented Shampoo Soap and Cream 3-in-1 Conditioner - True honest October 2022 review by an Aussie guy too embarrassed to tell his mates about it. The smell of this soap is divine. It's also true what it says on the box, one soap bar will last as long as 2 bottles of shampoo. In my opinion it will last longer because once you wet your hair in the shower, you only have to move the soap over your hair a couple of times and it lathers up very thick and frothy. It might last me at least a year or more! Very little goes a long way. It cleans my hair really well and I finish it off with the matching tub of 3-in-1 Watermelon scented creme Conditioner, which also smells great. Just the same as the soap, you only need a small amount of the conditioning cream and it works into your hair well and afterleaving it in for a minuteI can tell my hair feels fine and silky smooth whilst washing it out.  I reckon it will last me over a year too! My fine hair dries soft and light, not oily, and I can smell my own hair all day. I thoroughly recommend both products as a set.  "
"14","Garnier Fructis, 3-in-1 Hair Mask, Smoothing & Hydrating, Hair Food Macadamia, 390ml","Yvonne A.","Reviewed in Australia on 5 September 2023","5.0 out of 5 stars","        Made my hair feel soft.  "
"15","Garnier Fructis, 3-in-1 Hair Mask, Smoothing & Hydrating, Hair Food Macadamia, 390ml","Robert","Reviewed in Australia on 11 October 2022","3.0 out of 5 stars","        For the price I think this product is great. I don't think it is the best product for my hair type - I have very dry 2c hair that is prone to frizz, and will sometimes go into actual curls. This product is too heavy for me, but it works well as a leave in treatment or mask every now and then. It would probably work better for people with hair that is thicker, more porous, and curlier than mine.  "
"16","Garnier Fructis, 3-in-1 Hair Mask, Smoothing & Hydrating, Hair Food Macadamia, 390ml","Robert","Reviewed in Australia on 26 September 2023","5.0 out of 5 stars","        Great stuff and washes out easy.  "
"17","Garnier Fructis, 3-in-1 Hair Mask, Smoothing & Hydrating, Hair Food Macadamia, 390ml","Mrs. Rusky","Reviewed in Australia on 14 June 2023","5.0 out of 5 stars","        Love this product, use it regularly for myself and 2yr old daughter as leave in conditioner. Makes hair super healthy, defined but not heavy / oily. Smells heavenly! Now my main go to for hair conditioner  "
"18","Garnier Fructis, 3-in-1 Hair Mask, Smoothing & Hydrating, Hair Food Macadamia, 390ml","Sophia","Reviewed in Australia on 11 January 2024","5.0 out of 5 stars","        Love this product leaves your hair so soft and healthy  "
"19","Garnier Fructis, 3-in-1 Hair Mask, Smoothing & Hydrating, Hair Food Macadamia, 390ml","Simon","Reviewed in Australia on 27 February 2024","4.0 out of 5 stars","        i use this in the shower a the same time as conditioner or seperately as a hair mask and i absolutely love it, it makes your hair so soft and smells amazing!  "
"20","Garnier Fructis, 3-in-1 Hair Mask, Smoothing & Hydrating, Hair Food Macadamia, 390ml","welcome distractions","Reviewed in Australia on 28 October 2023","5.0 out of 5 stars","        Nothing amazing about this productI have thick curly hair, probably get a better result with flaxseed oil  "
"21","Garnier Fructis, 3-in-1 Hair Mask, Smoothing & Hydrating, Hair Food Macadamia, 390ml","Michelle","Reviewed in Australia on 23 April 2023","5.0 out of 5 stars","        A great detangler, when depression has me by the chokehold, and I cannot brush my hair for a week, I know I have this product to help me with the matting, and makes it easy.  "
